data,messages_delivered,messages_read,messages_replied_with_1,messages_replied_with_2,messages_replied_with_3,different_message
10-08-2023,20,0,20,5,8,6
15-08-2023,25,0,25,4,14,0
16-08-2023,4,0,4,3,1,0
18-08-2023,10,0,10,4,6,5
21-08-2023,1,0,0,0,1,0
22-08-2023,10,5,1,0,0,1
23-08-2023,12,9,1,0,1,2
30-08-2023,35,18,2,2,1,5
31-08-2023,0,1,0,0,0,0
04-09-2023,0,0,0,0,0,0
05-09-2023,10,6,1,0,0,1
06-09-2023,10,9,1,0,0,1
07-09-2023,12,13,2,1,0,2
08-09-2023,13,9,1,1,1,4
09-09-2023,13,9,1,1,1,4
11-09-2023,15,10,1,1,1,4
